doi,title,authors,journal,year,type,venue_swept,citations,abstract
10.1109/jestpe.2025.3546654,Reliability-Oriented Design of NPC Inverter in PV Systems With Focus on Lifetimes of DC-Link Capacitor Bank and Power Devices,Yeo Gahyeon; Choi Ui-Min,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,IEEE JESTPE,8,
10.1109/tr.2025.3598008,PoFINN: Integrating Physics of Failure and Neural Networks for Long-Term Degradation Forecasting of Aluminum Electrolytic Capacitors,Bhattacharyya Anindya; Dutta Anurag; Behera Rajendra Prasad; Dasgupta Arup,IEEE Transactions on Reliability,2025,journal-article,IEEE Trans. Reliability,5,
10.1109/jestpe.2024.3485114,A Submodule Insertion Window-Based Capacitor Condition Monitoring Method for Modular Multilevel Converters,Zhang Li; Liu Yihao; Zhang Jianhao; Li Yue,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,IEEE JESTPE,5,
10.1109/jestpe.2024.3518838,A Transferrable Data-Driven Method for Condition Monitoring of DC Capacitor in Power Electronic Transformer,Li Xiaohui; He Liqun; Zhu Zhongkui; Wang Cheng,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,IEEE JESTPE,5,
10.1016/j.microrel.2025.115873,Condition monitoring of a DC-link capacitor in an inverter with a front-end diode rectifier under imbalanced three-phase supply voltage,Yamasoto Takuma; Hasegawa Kazunori,Microelectronics Reliability,2025,journal-article,Microelectronics Reliability,4,
10.1109/tdmr.2025.3624656,A Comparative Analysis of the Reliability of DC Bus Capacitor Technologies in Photovoltaic Inverters,Alexandre Andressa Mara Menezes; Filho Paulo Soares; de Oliveira Bruna Aderbal; Silveira João Pedro Carvalho,IEEE Transactions on Device and Materials Reliability,2025,journal-article,IEEE Trans. Device and Materials Reliability,3,
10.1109/tdmr.2025.3572512,Monitoring Metallized Film Capacitor Health: A Method for Estimating Capacitance Amid Short-Term Failures Due to Self-Healing,He Yushuang; Wang Feipeng; Yang Hongming; Johnston Archie James,IEEE Transactions on Device and Materials Reliability,2025,journal-article,IEEE Trans. Device and Materials Reliability,2,
10.1109/jestpe.2025.3570650,Reliability-Enhanced PWM for NPC Inverter Focusing on Lifetimes of DC-Link Capacitors and Power Devices,Lee Dong-Jin; Choi Jae-Heon; Choi Ui-Min,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,IEEE JESTPE,2,
10.1109/tr.2025.3641587,Uncertainty-Aware Remaining Useful Life Estimation for Aluminium Electrolytic Capacitors Using Spectral Mixture Kernels and Hybrid Uncertainty Calibration,Bhattacharyya Anindya; Behera Rajendra Prasad; Dasgupta Arup; Chakraborty Rajat Subhra,IEEE Transactions on Reliability,2025,journal-article,IEEE Trans. Reliability,1,
10.1109/jestpe.2025.3584338,Fault-Tolerant Switching-Cell Flying Capacitor Clamped Current Source Inverter,Faraji Faramarz; Cha Honnyong,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,IEEE JESTPE,1,
10.1016/j.microrel.2025.115649,Evidence for double degradation regime in off-state stressed 100 V GaN transistors: From dielectric failure to subthreshold current increase,Fraccaroli Riccardo; Fregolent Manuel; Boito Mirco; De Santi Carlo,Microelectronics Reliability,2025,journal-article,Microelectronics Reliability,0,
10.1016/j.microrel.2025.115845,Electrical and reliability characterization with an optimized extrapolation model of two- and three-dimensional metal-insulator-metal decoupling capacitors with ZrAlxOy high-κ dielectric under BEoL-friendly conditions,Falidas Konstantinos Efstathios; Kühnel Kati; Rudolph Matthias; Everding Maximilian,Microelectronics Reliability,2025,journal-article,Microelectronics Reliability,0,
10.1109/tdmr.2024.3407855,A Novel Lifetime Estimation Method and Structural Optimization Design for Film Capacitors in EVs Considering Material Aging and Power Losses,Kuang Kaining; Guo Xinhua; Li Chunzhen; Li Xiuwan,IEEE Transactions on Device and Materials Reliability,2024,journal-article,IEEE Trans. Device and Materials Reliability,20,
10.1016/j.microrel.2024.115479,Interface traps in the sub-3 nm technology node: A comprehensive analysis and benchmarking of negative capacitance FinFET and nanosheet FETs - A reliability perspective from device to circuit level,Valasa Sresta; Kotha Venkata Ramakrishna; Vadthiya Narendar,Microelectronics Reliability,2024,journal-article,Microelectronics Reliability,17,
10.1016/j.microrel.2024.115509,A remaining useful life prediction method of aluminum electrolytic capacitor with adaptive degradation model selection,Chen Jindian; Miao Jigui; Yin Quan,Microelectronics Reliability,2024,journal-article,Microelectronics Reliability,6,
10.1016/j.microrel.2024.115506,Modeling LED driver lifespan through capacitor degradation due to thermal cycling,De Vas Gunawardena Sachintha; Narendran Nadarajah,Microelectronics Reliability,2024,journal-article,Microelectronics Reliability,6,
10.1109/jestpe.2024.3370616,A High-Accuracy Capacitor Condition Monitoring Scheme at Low Sample Frequency Based on Improved Current Reconstruction Method,Dai Xiaoteng; Zhao Leiting; Han Luyang; Sun Yuan,IEEE Journal of Emerging and Selected Topics in Power Electronics,2024,journal-article,IEEE JESTPE,6,
10.1109/jestpe.2024.3400454,Advanced Condition Monitoring for Active Front-End Converter LCL Filter AC Capacitors,Matijevic Edi; Sharma Rahul; Hemanth Ajay; Zare Firuz,IEEE Journal of Emerging and Selected Topics in Power Electronics,2024,journal-article,IEEE JESTPE,6,
10.1109/tdmr.2024.3408293,Dynamic Reliability Assessment of Vertical GaN Trench MOSFETs With Thick Bottom Dielectric,Zhang Yu; Zhu Renqiang; Qu Haolan; Gu Yitian,IEEE Transactions on Device and Materials Reliability,2024,journal-article,IEEE Trans. Device and Materials Reliability,4,
10.1016/j.microrel.2023.115301,Analysis of noise behavior and reliability of pocket doped negative capacitance FET under the impact of trap charges and temperature,Malvika; Talukdar Jagritee; Choudhuri Bijit; Mummaneni Kavicharan,Microelectronics Reliability,2024,journal-article,Microelectronics Reliability,3,
10.1109/jestpe.2022.3163012,On-Line Condition Monitoring System for DC-Link Capacitor of Back-to-Back Converters Using Large-Signal Transients,Ghadrdan Moein; Abdi Behzad; Peyghami Saeed; Mokhtari Hossein,IEEE Journal of Emerging and Selected Topics in Power Electronics,2023,journal-article,IEEE JESTPE,33,
10.1016/j.microrel.2023.114928,A remaining useful life prediction method of aluminum electrolytic capacitor based on wiener process and similarity measurement,Zhao Jin; Zhou Yang; Zhu Qi; Song Yujin,Microelectronics Reliability,2023,journal-article,Microelectronics Reliability,32,
10.1109/jestpe.2022.3183837,Dissipation Factor as a Degradation Indicator for Electrolytic Capacitors,Ghadrdan Moein; Peyghami Saeed; Mokhtari Hossein; Wang Huai,IEEE Journal of Emerging and Selected Topics in Power Electronics,2023,journal-article,IEEE JESTPE,24,
10.1016/j.microrel.2023.115003,Review of condition monitoring methods for capacitors used in power converters,Nathan Leema Prasila Arokia; Hemamalini Ranganathan Rani; Jeremiah Ruben Johnson Robert; Partheeban Pachaivannan,Microelectronics Reliability,2023,journal-article,Microelectronics Reliability,21,
10.1016/j.microrel.2023.115028,Investigation of hygrothermally induced failures in multilayer ceramic capacitors during thermal reflow process,Apalowo Rilwan Kayode; Abas Aizat; Bachok Zuraihana; Sharif Mohamad Fikri Mohd,Microelectronics Reliability,2023,journal-article,Microelectronics Reliability,16,
10.1016/j.microrel.2023.115174,Ageing metallized polypropylene film capacitors laws confronted with the phenomenon of corrosion,Rochefort Claire; Venet Pascal; Clerc Guy; Sari Ali,Microelectronics Reliability,2023,journal-article,Microelectronics Reliability,10,
10.1109/jestpe.2022.3208065,A Dummy-Variable Model for Humidity-Influenced DC Film Capacitors Lifetime Estimation,Miao Jigui; Liu Yang; Yin Quan; Zhao Shuai,IEEE Journal of Emerging and Selected Topics in Power Electronics,2023,journal-article,IEEE JESTPE,6,
10.1109/jestpe.2023.3244029,Fault-Tolerant Control of Doubly Salient Electromagnetic Generator Based on Capacitor Split-Phase Bridge Converter Under Loss of Excitation,Shi Hongjun; Zhou Bo; Xiong Lei; Jiang Siyuan,IEEE Journal of Emerging and Selected Topics in Power Electronics,2023,journal-article,IEEE JESTPE,6,
10.1016/j.microrel.2023.115191,"Automated reliability calculation of failure rate, lifetime extrapolation and prediction for embedded Metal-Insulator-Metal capacitors using an optimized Time-Dependent-Dielectric-Breakdown model",Falidas Konstantinos Efstathios; Everding Maximilian B.; Viegas Alison E.; Czernohorsky Malte,Microelectronics Reliability,2023,journal-article,Microelectronics Reliability,3,
10.1109/tdmr.2023.3312667,Analysis of the Extraction Method and Mechanism of Hot Carrier Degradation in Al<sub>2</sub>O<sub>3</sub>/Si<sub>3</sub>N<sub>4</sub> Bilayer Gate Dielectric AlGaN/GaN MIS-HEMTs,Huang Jen-Wei; Chen Po-Hsun; Yeh Tsung-Han; Tsai Xin-Ying,IEEE Transactions on Device and Materials Reliability,2023,journal-article,IEEE Trans. Device and Materials Reliability,2,
10.36001/phmap.2023.v4i1.3768,Concept of Condition Monitoring for AC-DC Converter Output  Capacitors via Discriminative Features,Kareem Akeem Bayo; Hur Jang Wook,PHM Society Asia-Pacific Conference,2023,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",0,"This paper discusses recent research on the condition mon- itoring (CM) approach for aluminium electrolytic capacitors (AEC) used in power electronics equipment such as switched- mode power supplies (SMPS). Capacitors are identified as the most critical component with the highest percentage of failure in AEC. CM offers a better paradigm for AEC due to its long- lasting ability (endurance). This study proposes accelerated life testing through electrical stress and long-term frequency testing for the AEC component. An experiment test bench was set up to monitor the critical electrical parameters such as dissipation factor (D), equivalent series resistance (ESR), capacitance (Cp), and impedance (Z), which serve as health indicators (HI) for the evaluation of the AECs. Time-domain features were extracted from the measured data, and the best features were selected using the correlation-based technique. This research contributes to developing a cost-effective CM approach for AECs used in power electronics equipment, which can reduce downtime and maintenance costs."
10.36001/ijphm.2023.v14i2.3545,Fault- Tolerant DC-DC Converter with Zero Interruption Time Using Capacitor Health Prognosis,Sharma K Preethi; T Vijayakumar,International Journal of Prognostics and Health Management,2023,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",0,"A high-end critical electronic system is expected to have hundreds of electronic subsystems, which rely on the Power Management Unit (PMU) to be energized. Having an efficient PMU is crucial and it requires reliable and well-structured voltage buck converters to translate the supplied voltage levels. The buck converters employed in PMU are expected to be fault tolerant and supply uninterrupted power while serving critical subsystems. Active redundant parallel buck converters employed in PMU to achieve fault tolerance increases overhead in terms of area, cost and power dissipation. In this paper, a DC-DC converter is designed for the PMU by combining two legs of buck converters with an effective output of 3.3 V. A simple yet effective technique is proposed to design a fault-tolerant buck DC-DC converter by bypassing a faulty converter leg. The proposed system utilizes an online signal processing-based method for prognostic fault detection. Ripple content in the voltage of the output Aluminum Electrolytic Capacitor (AEC) is monitored and used as a primary health indicator for the primary buck converter leg. Increase in the output ripple due to degradation is used for the prognosis of primary converter failure. The secondary buck converter leg is activated only upon the confirmed prognosis of a faulty primary converter leg to avoid false triggering. The timely prognosis of primary converter failure and activation of secondary converter facilitates uninterrupted power supply. An "
10.1016/j.microrel.2022.114755,Failure mechanism and life estimate of metallized film capacitor under high temperature and humidity,Tai Yunxiao; Chen Pengqi; Jian Yang; Fang Qingqing,Microelectronics Reliability,2022,journal-article,Microelectronics Reliability,29,
10.1109/jestpe.2021.3094715,An Online Proactive Health Monitoring Method for Output Capacitors of Vehicular Auxiliary Converter,Wu Chenhao; Yue Jiguang; Liu Jincheng; Wang Li,IEEE Journal of Emerging and Selected Topics in Power Electronics,2022,journal-article,IEEE JESTPE,22,
10.1016/j.microrel.2022.114609,Degradation mechanisms-based reliability modeling for metallized film capacitors under temperature and voltage stresses,Hu Yifan; Ye Xuerong; Zheng Bokai; Zhao Zichuan,Microelectronics Reliability,2022,journal-article,Microelectronics Reliability,16,
10.1016/j.microrel.2022.114646,A data-driven method for anomaly detection and aging model parameter estimation of capacitors based on condition monitoring,Lv Chunlin; Liu Jinjun; Zhang Yan,Microelectronics Reliability,2022,journal-article,Microelectronics Reliability,10,
10.1109/jestpe.2021.3101849,Detection and Identification of Power Device Failures Using Discrete Fourier Transform for Fault-Tolerant Operation of Flying Capacitor Multilevel Converters,Tang Sai; Wang Jun; Zhang Chao; Wang Daming,IEEE Journal of Emerging and Selected Topics in Power Electronics,2022,journal-article,IEEE JESTPE,6,
10.1109/jestpe.2021.3103830,Current-Limiting Virtual Synchronous Control and Stability Analysis Considering DC-Link Dynamics Under Normal and Faulty Grid Conditions,Dedeoglu Seyfullah; Konstantopoulos George C.; Komurcugil Hasan,IEEE Journal of Emerging and Selected Topics in Power Electronics,2022,journal-article,IEEE JESTPE,6,
10.1109/jestpe.2022.3175457,Lifetime Prediction of Mica Paper Capacitors Based on an Improved Iterative Grey–Markov Chain Model,Liu Shifei; Zhang Jiande; Zhang Zicheng,IEEE Journal of Emerging and Selected Topics in Power Electronics,2022,journal-article,IEEE JESTPE,3,
10.1016/j.microrel.2022.114566,Failure analysis on capacitor failures using simple circuit edit passive voltage contrast method,Ting Siong Luong; Tan Pik Kee; Thoungh Hnin Hnin Win; Menon Krishnanunni,Microelectronics Reliability,2022,journal-article,Microelectronics Reliability,2,
10.1016/j.microrel.2022.114691,`Failure analysis of short-circuit failure of metal-oxide-metal capacitor,Wang Yan; Zhu Qingguo; Huang Caiqing,Microelectronics Reliability,2022,journal-article,Microelectronics Reliability,2,
10.1016/j.microrel.2022.114768,An event-oriented reliability assessment for DC link capacitors in grid connected inverter with low voltage ride through operation,Liu Yi; Zhu Mingshuo; Huang Meng; Zha Xiaoming,Microelectronics Reliability,2022,journal-article,Microelectronics Reliability,2,
10.1109/jestpe.2020.2981806,Lifetime Analysis of Metallized Polypropylene Capacitors in Modular Multilevel Converter Based on Finite Element Method,Yao Ran; Li Hui; Lai Wei; Bahman Amir Sajjad,IEEE Journal of Emerging and Selected Topics in Power Electronics,2021,journal-article,IEEE JESTPE,43,
10.1109/jestpe.2020.3000130,Electrothermal Stress Analysis and Lifetime Evaluation of DC-Link Capacitor Banks in the Railway Traction Drive System,Yao Bo; Ge Xinglai; Xie Dong; Li Songtao,IEEE Journal of Emerging and Selected Topics in Power Electronics,2021,journal-article,IEEE JESTPE,42,
10.1109/jestpe.2020.3001604,Reliability Modeling for Metallized Film Capacitors Based on Time-Varying Stress Mission Profile and Aging of ESR,Lv Chunlin; Liu Jinjun; Zhang Yan; Lei Wanjun,IEEE Journal of Emerging and Selected Topics in Power Electronics,2021,journal-article,IEEE JESTPE,32,
10.1109/jestpe.2020.3033657,DC-Link Voltage Control Aided for the Inertial Support During Severe Faults in Weak Grids,Khayat Yousef; Golestan Saeed; Guerrero Josep M.; Vasquez Juan C.,IEEE Journal of Emerging and Selected Topics in Power Electronics,2021,journal-article,IEEE JESTPE,17,
10.1109/jestpe.2020.3012201,Detection and Identification of Power Switch Failures Using Discrete Fourier Transform for DC–DC Flying Capacitor Buck Converters,Tang Sai; Wang Jun; Zheng Ruqiang; Wang Daming,IEEE Journal of Emerging and Selected Topics in Power Electronics,2021,journal-article,IEEE JESTPE,14,
10.1016/j.microrel.2021.114277,Reliability assessment of film capacitors oriented by dependent and nonlinear degradation considering three-source uncertainties,Ye Xuerong; Hu Yifan; Zheng Bokai; Chen Cen,Microelectronics Reliability,2021,journal-article,Microelectronics Reliability,13,
10.1016/j.microrel.2021.114245,A method to improve the accuracy and efficiency for metallized-film capacitor's reliability assessment using joint simulation,Yin Jinpeng; Liu Jinjun; Zhang Yan; Lv Chunlin,Microelectronics Reliability,2021,journal-article,Microelectronics Reliability,5,
10.1109/tdmr.2020.3048060,Popcorning Failures in Polymer and MnO2 Tantalum Capacitors,Teverovsky Alexander,IEEE Transactions on Device and Materials Reliability,2021,journal-article,IEEE Trans. Device and Materials Reliability,5,
10.1109/tdmr.2021.3104320,Reliability Characterization of a Low-<i>k</i> Dielectric Using Magnetoresistance as a Diagnostic Tool,Williams Philip A.; Lloyd James R.,IEEE Transactions on Device and Materials Reliability,2021,journal-article,IEEE Trans. Device and Materials Reliability,4,
10.1109/tdmr.2021.3120966,Eight-Level/Cell Storage by Tuning the Spatial Distribution of Dielectrics in a Tri-Layer ReRAM Cell: Electrical Characteristics and Reliability,Vishwakarma Kavita; Kishore Rishabh; Datta Arnab,IEEE Transactions on Device and Materials Reliability,2021,journal-article,IEEE Trans. Device and Materials Reliability,1,
10.1109/tdmr.2021.3120102,Erratum to “Reliability Characterization of a Low-<i>k</i> Dielectric Using Magnetoresistance as a Diagnostic Tool”,Williams Philip A.; Lloyd James R.,IEEE Transactions on Device and Materials Reliability,2021,journal-article,IEEE Trans. Device and Materials Reliability,0,
10.1016/j.microrel.2020.113892,An improved lifetime prediction method for metallized film capacitor considering harmonics and degradation process,Lv Chunlin; Liu Jinjun; Zhang Yan; Lei Wanjun,Microelectronics Reliability,2020,journal-article,Microelectronics Reliability,25,
10.1016/j.microrel.2020.113725,Reliability analysis of multilayer polymer aluminum electrolytic capacitors,Romero Jose; Azarian Michael H.; Pecht Michael,Microelectronics Reliability,2020,journal-article,Microelectronics Reliability,18,
10.1016/j.microrel.2020.113737,A method to extract lumped thermal networks of capacitors for reliability oriented design,Delmonte N.; Cabezuelo D.; Kortabarria I.; Santoro D.,Microelectronics Reliability,2020,journal-article,Microelectronics Reliability,11,
10.36001/ijphm.2012.v3i2.1364,Towards A Model-based Prognostics Methodology for Electrolytic Capacitors: A Case Study Based on Electrical Overstress Accelerated Aging,Celaya Jos´e R.; Kulkarni Chetan S.; Biswas Gautam; Goebel Kai,International Journal of Prognostics and Health Management,2020,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",8,"This paper presents a model-driven methodology for predicting the remaining useful life of electrolytic capacitors. This methodology adopts a Kalman filter approach in conjunction with an empirical state-based degradation model to predict the degradation of capacitor parameters through the life of the capacitor. Electrolytic capacitors are important components of systems that range from power supplies on critical avionics equipment to power drivers for electro-mechanical actuators. These devices are known for their comparatively low reliability and given their critical role in the system, they are good candidates for component level prognostics and health management. Prognostics provides a way to assess remaining useful life of a capacitor based on its current state of health and its anticipated future usage and operational conditions. This paper proposes and empirical degradation model and discusses experimental results for an accelerated aging test performed on a set of identical capacitors subjected to electrical stress. The data forms the basis for developing the Kalman-filter based remaining life prediction algorithm."
10.1016/j.microrel.2020.113858,Correlative microscopy workflow for precise targeted failure analysis of multi-layer ceramic capacitors,May Nicholas; Favata Joseph; Ahmadi Bahar; Tavousi Pouya,Microelectronics Reliability,2020,journal-article,Microelectronics Reliability,7,
10.1016/j.microrel.2020.113780,Magnetic field imaging and light induced capacitance alteration for failure analysis of Cu-TSV interconnects,De Wolf Ingrid; Jacobs Kristof J.P.; Orozco Antonio,Microelectronics Reliability,2020,journal-article,Microelectronics Reliability,5,
10.36001/ijphm.2013.v4i1.1448,Physics Based Degradation Models for Electrolytic Capacitor Prognostics under Thermal Overstress Conditions,Kulkarni Chetan S.; Biswas Gautam; Celaya Jos´e R.; Goebel Kai,International Journal of Prognostics and Health Management,2020,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",3,"Electronics subsystems play an increasingly important role in safety critical systems for monitoring, control, and enhanced functionality. Electrolytic capacitors are an important component in ,amy subsystems that range from power supplies on safety critical avionics equipment to power drivers for electro-mechanical actuators. These capacitors are ideal forpassing or bypassing low-frequency signals in power supplies but are known to have lower reliability compared to ceramic and tantalum capacitors, and given their criticality in electronicssubsystems they are a good candidate for component level monitoring and prognostics. Prognostics provides a way to assess remaining useful life of components and systems based on their current state of health and their anticipated future use and operating conditions. Past experiences have shown that capacitor degradation and failures are quite prevalent under high electrical and thermal stress conditions that they experience during operations. Our focus in this work is on deriving a physics-based degradation model for electrolytic capacitors under thermal stress conditions. As part of our methodology, we study the effects of accelerated aging due to thermal stress on a batch of capacitors stored at high ambient temperature conditions. This provides a framework for supplementing theoretical modeling with data collected from simultaneous experiments, which is then used to validate the derived models. This work represents a first step toward "
10.1016/j.microrel.2020.113817,Reliability-oriented optimization of aluminum electrolytic capacitor considering uncertain mission profile,Niu Hao; Wang Shujuan; Ye Xuerong,Microelectronics Reliability,2020,journal-article,Microelectronics Reliability,3,
10.36001/phme.2020.v5i1.1201,Hybrid Fault Prognosis for Excitation Capacitors of Self-Excited Induction Generator for Wind Energy Applications,Derbal Massinissa; Toubakh Houari; Sayed-Mouchaweh Moamar; Bouchachia Abdelhamid,PHM Society European Conference,2020,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",0,"This paper presents a new fault prognosis approach applied to wind turbine system based on self-excited induction generator (SEIG) for offshore and isolated areas. This generator is very sensitive to wind speed variation and excitation source. The SEIG is excited by a capacitor bank with an appropriate value to ensure the good operating of the production system. Capacitor bank faults are usually related to chemical aging, electrical and thermal stress conditions. These abnormalities can affect one or more properties of the system, which can lead to failures or even complete breakdown of the production system. Specifically, in this paper, we propose a saturated flux model for the SEIG and develop a hybrid monitoring method that detects faults occurrence gradually and estimates the remaining useful life (RUL). Such monitoring method applies data mining techniques in order to identify and track the faults using only useful data that captures the dynamics of the degradation. Moreover, to deploy efficient maintenance schedules, RUL is estimated by exploiting wind speed (variable and max speed) information. The proposed hybrid fault prognosis method is tested under variable excitation capacitors degradation scenarios. The obtained results confirm the robustness and accuracy of the proposed method."
10.1016/j.microrel.2018.11.003,Metallized film capacitors used for EMI filtering: A reliability review,Valentine Nathan; Azarian Michael H.; Pecht Michael,Microelectronics Reliability,2019,journal-article,Microelectronics Reliability,76,
10.1016/j.microrel.2018.12.005,Reliability issue related to dielectric charging in capacitive micromachined ultrasonic transducers: A review,Munir Junaid; Ain Quratul; Lee Hyunjoo Jenny,Microelectronics Reliability,2019,journal-article,Microelectronics Reliability,28,
10.1109/tr.2018.2869212,Modeling the Ageing Effect of Cycling Using a Supercapacitor-Module Under High Temperature With Electrochemical Impedance Spectroscopy Test,Ahmad Hadiza; Wan Wong Yee; Isa Dino,IEEE Transactions on Reliability,2019,journal-article,IEEE Trans. Reliability,24,
10.1016/j.microrel.2019.113401,Degradation modeling for reliability estimation of DC film capacitors subject to humidity acceleration,Zhao Shuai; Chen Shaowei; Wang Huai,Microelectronics Reliability,2019,journal-article,Microelectronics Reliability,18,
10.1016/j.microrel.2019.113491,Benchmarking of capacitor power loss calculation methods for wear-out failure prediction in PV inverters,Lenz João M.; Cupertino Allan F.; Pereira Heverton A.; Zhou Dao,Microelectronics Reliability,2019,journal-article,Microelectronics Reliability,12,
10.1016/j.microrel.2019.113439,Adaptive dc-link voltage control strategy to increase PV inverter lifetime,Callegari J.M.S.; Cupertino A.F.; Ferreira V.N.; Brito E.M.S.,Microelectronics Reliability,2019,journal-article,Microelectronics Reliability,12,
10.1016/j.microrel.2019.113449,Effect of oxide-trapped charge on the anomalous drain avalanche hot carrier degradation of a SiO2 dielectric nMOSFET,Yun Yeohyeok; Seo Ji-Hoon; Kwon Young-Kyu; Kang Bongkoo,Microelectronics Reliability,2019,journal-article,Microelectronics Reliability,4,
10.1016/j.microrel.2018.07.144,Effect of short-circuit stress on the degradation of the SiO2 dielectric in SiC power MOSFETs,Reigosa Paula Diaz; Iannuzzo Francesco; Ceccarelli Lorenzo,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,53,
10.1016/j.microrel.2018.05.020,Adaptive and robust prediction for the remaining useful life of electrolytic capacitors,Qin Qi; Zhao Shuai; Chen Shaowei; Huang Dengshan,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,36,
10.1016/j.microrel.2017.11.002,Prognostics of aluminum electrolytic capacitors using artificial neural network approach,Khera Neeraj; Khan Shakeb A.,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,30,
10.1016/j.microrel.2018.02.012,DC-bias-voltage dependence of degradation of aluminum electrolytic capacitors,Hasegawa K.; Tsuzaki K.; Nishizawa S.,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,19,
