doi,level_assigned,level_final,audit,audit_reason,audit_lenses,confidence,level_reason,n_reviews,citations,year,title,authors,journal,type,cap_type,method,section,priority,status
10.1049/iet-pel.2015.0636,6,6,,,2,medium,abstract tracks ESR over operating time and performs fractional-order failure prediction feeding predictive maintenance,1,39,2016,Fractional order equivalent series resistance modelling of electrolytic capacitor and fractional order failure prediction with application to predictive maintenance,Malek Hadi; Dadras Sara; Chen Yangquan,IET Power Electronics,journal-article,Al-Cap,Model-based/Filtering,S6-RUL,P1,NEED_MANUAL
10.1016/j.microrel.2018.05.020,6,6,,,2,high,explicitly predicts remaining useful life of electrolytic capacitors,1,36,2018,Adaptive and robust prediction for the remaining useful life of electrolytic capacitors,Qin Qi; Zhao Shuai; Chen Shaowei; Huang Dengshan et al.,Microelectronics Reliability,journal-article,Al-Cap,Model-based/Filtering,S6-RUL,P1,NEED_MANUAL
10.1016/j.microrel.2023.114928,6,6,,,2,high,Wiener-process degradation model with similarity measurement outputs RUL of aluminum electrolytic capacitors,1,32,2023,A remaining useful life prediction method of aluminum electrolytic capacitor based on wiener process and similarity measurement,Zhao Jin; Zhou Yang; Zhu Qi; Song Yujin et al.,Microelectronics Reliability,journal-article,Al-Cap,Model-based/Filtering,S6-RUL,P1,NEED_MANUAL
10.1109/tdmr.2011.2162517,5,6,UPGRADED,"Verified abstract (OpenAlex, verbatim): 'This paper presents a parameter residual-based method for predicting the remaining useful life (RUL) of multilayer ceramic capacitors... The future evolution of the residuals was predicted with uncertainty bounds in a Bayesian framework. The failure threshold in terms of the parameter residuals was investigated. Then, the RUL of each MLCC with uncertainty b",2,low,"tracks parameter residuals as a degradation/health state of MLCCs under prognostic framing, but the title does not state an explicit time-to-failure output",1,14,2012,Prognostics of Multilayer Ceramic Capacitors Via the Parameter Residuals,Sun Jianzhong; Cheng Shunfeng; Pecht Michael,IEEE Transactions on Device and Materials Reliability,journal-article,Ceramic,Data-driven,S5-SOH,P1,NEED_MANUAL
10.2514/6.2011-1519,6,6,,,2,medium,NASA-style prognostic framework for electrolytic capacitors whose stated deliverable is remaining-life prediction from a degradation model,1,12,2011,Towards Prognostics of Electrolytic Capacitors,Celaya Jose; Kulkarni Chetan; Goebel Kai; Biswas Gautam,Infotech@Aerospace 2011,proceedings-article,Al-Cap,Model-based/Filtering,S6-RUL,P1,NEED_MANUAL
10.1109/med48518.2020.9182829,6,6,,,2,medium,explicit RUL forecasting output from a set-membership/zonotopic extended Kalman filter under unknown degradation behavior,1,10,2020,Zonotopic Extended Kalman Filter For RUL Forecasting With Unknown Degradation Behaviors,Al-Mohamad Ahmad; Puig Vicenc; Hoblos Ghaleb,2020 28th Mediterranean Conference on Control and Automation (MED),proceedings-article,NR,Model-based/Filtering,S6-RUL,P2,NEED_MANUAL
10.1109/tie.2018.2880725,4,4,,,0,low,"estimates the health of individual capacitors within a bank, so it both quantifies degradation and identifies which unit; a defined SOH index is not claimed in the title",4,51,2019,Health Estimation of Individual Capacitors in a Bank With Reduced Sensor Requirements,Gupta Yugal; Ahmad Md. Waseem; Narale Sagar; Anand Sandeep,IEEE Transactions on Industrial Electronics,journal-article,NR,Model-based/Filtering,S5-SOH,P1,NEED_MANUAL
10.1002/(sici)1099-1638(199601)12:1<43::aid-qre981>3.0.co;2-o,4,4,,,0,medium,"title states non-destructive detection AND localization of defects, i.e. fault identification/location, not merely a parameter",2,12,1996,NON-DESTRUCTIVE DETECTION AND LOCALIZATION OF DEFECTS IN MULTILAYER CERAMIC CHIP CAPACITORS USING ELECTROMECHANICAL RESONANCES,BECHOU L.; MEJDI S.; OUSTEN Y.; DANTO Y.,Quality and Reliability Engineering International,journal-article,Ceramic,Experimental/Physics,S3-HealthIndicators,P3,NEED_MANUAL
10.1109/apec42165.2021.9487107,4,4,,,0,low,"HMM-supported CNN assigns DC-link capacitors to discrete degradation states, i.e. classifies how degraded rather than only healthy/faulty",1,8,2021,Condition Monitoring of DC-Link Capacitors Using Hidden Markov Model Supported-Convolutional Neural Network,McGrew Tyler; Sysoeva Viktoriia; Cheng Chi-Hao; Scott Mark,2021 IEEE Applied Power Electronics Conference and Exposition (APEC),proceedings-article,NR,Data-driven,S7-DataDriven,P2,NEED_MANUAL
10.1109/63.261004,3,3,,,0,medium,"ESR is used to diagnose deterioration, i.e. the output is a degraded/healthy verdict rather than only the parameter",6,193,1993,Use of ESR for deterioration diagnosis of electrolytic capacitor,Harada K.; Katsuki A.; Fujiwara M.,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S3-HealthIndicators,P1,NEED_MANUAL
10.1109/2943.974353,3,3,,,0,medium,"the circuit signals its own worn-out state, a binary end-of-life flag rather than a quantified severity",6,145,2002,Realization of a Smart: Electrolytic Capacitor Circuit: Electrolytic Capacitor Circuits that can Signal their Own Worn-Out State Have Arrived,Venet P.; Perisse F.; El-Husseini M. H.; Rojat G.,IEEE Industry Applications Magazine,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tie.2012.2218561,3,3,,,0,high,"title states fault diagnosis achieved by online ESR estimation, so the delivered output is a fault decision built on an L2 estimate",5,180,2013,Fault Diagnosis of DC-Link Capacitors in Three-Phase AC/DC PWM Converters by Online Estimation of Equivalent Series Resistance,Pu Xing-Si; Nguyen Thanh Hai; Lee Dong-Choon; Lee Kyo-Beum et al.,IEEE Transactions on Industrial Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P1,NEED_MANUAL
10.1109/63.728347,3,3,,,0,low,"claims failure prediction during operation, but the defensible output from the title is online ESR monitoring against a failure threshold, not a computed time-to-failure",4,318,1998,Failure prediction of electrolytic capacitors during operation of a switchmode power supply,Lahyani A.; Venet P.; Grellet G.; Viverge P.-J.,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S6-RUL,P1,NEED_MANUAL
10.1109/tie.2007.903975,3,3,,,0,low,"online failure prediction of the LC-filter capacitor, but only a monitored-parameter threshold crossing is defensible from the title; no explicit residual-life output",4,131,2008,Online Failure Prediction of the Electrolytic Capacitor for LC Filter of Switching-Mode Power Converters,Chen Yaow-Ming; Wu Hsu-Chin; Chou Ming-Wei; Lee Kung-Yen,IEEE Transactions on Industrial Electronics,journal-article,Al-Cap,Signal/Circuit,S6-RUL,P2,NEED_MANUAL
10.1049/iet-pel.2011.0163,3,3,,,0,high,"title output is on-line fault detection of the AEC, i.e. a degraded-vs-healthy decision from ripple signatures",3,107,2012,"On-line fault detection of aluminium electrolytic capacitors, in step-down DC–DC converters, using input current and output voltage ripple",Amaral A.M.R.; Cardoso A.J.M.,IET Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tie.2017.2674598,3,3,,,0,medium,"monitors low-frequency impedance and defines failure criteria, so the delivered output is a threshold-based degraded/failed decision",3,73,2017,Low-Frequency Impedance Monitoring and Corresponding Failure Criteria for Aluminum Electrolytic Capacitors,Ahmad Md. Waseem; Agarwal Nikunj; Kumar P. Nandha; Anand Sandeep,IEEE Transactions on Industrial Electronics,journal-article,Al-Cap,Experimental/Physics,S3-HealthIndicators,P2,NEED_MANUAL
10.1109/ccece.2015.7129353,3,3,,,0,low,"ANFIS classifier flags aged vs healthy DC-filter capacitors (detection), with no explicit degradation quantity claimed in the title",3,31,2015,Capacitor aging detection for the DC filters in the power electronic converters using ANFIS algorithm,Kamel Tamer; Biletskiy Yevgen; Chang Liuchen,2015 IEEE 28th Canadian Conference on Electrical and Computer Engineering (CCECE),proceedings-article,NR,Data-driven,S7-DataDriven,P2,NEED_MANUAL
10.1109/isie.2004.1572002,3,3,,,0,low,"uses ESR against a failure criterion to flag end-of-life of the output filter capacitor; no time-to-failure is output, so L3 not L6",3,29,2004,Use of ESR to predict failure of output filtering capacitors in boost converters,Amaral A.M.R.; Cardoso A.J.M.,2004 IEEE International Symposium on Industrial Electronics,proceedings-article,NR,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/pesc.2008.4592252,3,3,,,0,low,"delivers a non-invasive fault diagnosis decision for the SMPS; capacitor focus inferred from co-citation, not stated in the title",3,11,2008,A non-invasive technique for fault diagnosis of SMPS,Amaral Acacio M. R.; Marques Cardoso A. J.,2008 IEEE Power Electronics Specialists Conference,proceedings-article,NR,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/tpel.2021.3135873,3,3,,,0,medium,machine-learning classification of conducted EMI signatures decides degraded vs healthy; title does not claim a quantified severity or SOH,2,38,2022,Condition Monitoring of DC-Link Capacitors Using Time–Frequency Analysis and Machine Learning Classification of Conducted EMI,McGrew Tyler; Sysoeva Viktoriia; Cheng Chi-Hao; Miller Chad et al.,IEEE Transactions on Power Electronics,journal-article,NR,Data-driven,S7-DataDriven,P1,NEED_MANUAL
10.1016/j.microrel.2016.07.110,3,3,,,0,medium,"X-ray imaging detects presence of cracks in MLCCs (defect present/absent), no severity metric quantified",2,32,2016,Detection of cracks in multilayer ceramic capacitors by X-ray imaging,Andersson C.; Ingman J.; Varescon E.; Kiviniemi M.,Microelectronics Reliability,journal-article,Ceramic,Experimental/Physics,S4-OnlineCM,P3,NEED_MANUAL
10.1109/apec.2005.1453106,3,3,,,0,low,"'failure prediction' by DSP almost certainly means ESR tracking against a wear-out threshold, not a predicted time-to-failure",2,20,,Failure prediction of electrolytic capacitor using DSP methods,Imam A.M.; Habetler T.G.; Harley R.G.; Divan D.,"Twentieth Annual IEEE Applied Power Electronics Conference and Exposition, 2005. APEC 2005",proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tia.2018.2873989,3,3,,,0,medium,"acoustic method detects presence of cracks/delamination in MLCCs; a defect flag, not a quantified severity",2,20,2019,Acoustic Detection of Cracks and Delamination in Multilayer Ceramic Capacitors,Levikari Saku; Karkkainen Tommi J.; Andersson Caroline; Tammminen Juha et al.,IEEE Transactions on Industry Applications,journal-article,Ceramic,Experimental/Physics,S4-OnlineCM,P2,OA_PENDING
10.1109/tpel.2017.2691048,3,3,,,0,low,"online evaluation of electrolytic capacitor degradation for SMPS failure prediction, defensible output is a degraded/healthy decision rather than a life estimate",1,44,2018,Online Evaluation Method of Electrolytic Capacitor Degradation for Digitally Controlled SMPS Failure Prediction,Nakao Hiroshi; Yonezawa Yu; Sugawara Takahiko; Nakashima Yoshiyasu et al.,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/aero.2007.352885,6,3,DOWNGRADED,"Judkins, Hofmeister & Vohnout (Ridgetop Group), IEEE Aerospace 2007. Two problems with the L6 claim. (a) Scope: the paper is described as a non-invasive method for DETECTION OF FAILURE PRECURSORS in the SMPS opto-isolator (inferring current-transfer-ratio loss from the closed-loop transfer characteristic), not primarily output-filter-capacitor RUL as the claim's reason asserts. (b) Output: the com",2,low,hardware prognostic sensor for SMPS advertising advance failure warning from output-filter capacitor degradation; exact output granularity not visible in title,1,16,2007,A Prognostic Sensor for Voltage Regulated Switch-Mode Power Supplies,Judkins Justin B.; Hofmeister James; Vohnout Sonia,2007 IEEE Aerospace Conference,proceedings-article,Al-Cap,Signal/Circuit,S6-RUL,P2,NEED_MANUAL
10.1109/ojpel.2022.3196134,3,3,,,0,medium,"output is an end-of-life flag for the converter derived from an application-level health precursor, i.e. a detection decision not a severity or life estimate",1,9,2022,End-of-Life Detection of Power Electronic Converters by Exploiting an Application-Level Health Precursor,Kjaer Martin Vang; Wang Huai; Blaabjerg Frede,IEEE Open Journal of Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,HELD
10.1109/pedstc.2016.7556887,3,3,,,0,low,"noninvasive online technique flags impending capacitor failure, in practice via a monitored-parameter threshold rather than a predicted time-to-failure",1,6,2016,A noninvasive on-line failure prediction technique for aluminum electrolytic capacitors in photovoltaic grid-connected inverters,Sepehr Amir; Saradarzadeh Mehdi; Farhangi Shahrokh,2016 7th Power Electronics and Drive Systems Technologies Conference (PEDSTC),proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/tia.2012.2222333,2,2,,,0,medium,"condition monitoring of DC-link capacitors in a drive, with no diagnosis or severity output evidenced by the title, so only parameter estimation is defensible",6,91,2012,Condition Monitoring of DC-Link Capacitors in Aerospace Drives,Wechsler Andrew; Mecrow Barrie C.; Atkinson David J.; Bennett John W. et al.,IEEE Transactions on Industry Applications,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2010.2059713,5,2,DOWNGRADED,"Refuted. Abstract (Vogelsberger, Wiesinger, Ertl, TPEL 26(2):493-503): the unit 'performs online identification of the capacitor's equivalent series resistance (ESR) in order to detect the life-cycle status and permit preventive maintenance, based on the capacitor's ac losses calculated from voltage/current measurements using a simple low-cost microcontroller.' The delivered output is an ESR value",2,low,"a life-cycle monitoring unit tracks accumulated life consumption (a health state); a predicted time-to-failure is not established by the title, so RUL is not called",5,228,2011,Life-Cycle Monitoring and Voltage-Managing Unit for DC-Link Electrolytic Capacitors in PWM Converters,Vogelsberger Markus A.; Wiesinger Thomas; Ertl Hans,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Physics-informed/PoF,S5-SOH,P1,NEED_MANUAL
10.1109/tie.2009.2022077,2,2,,,0,high,an offline technique that evaluates capacitor condition through its electrical parameters; no in-operation decision output,5,145,2009,A Simple Offline Technique for Evaluating the Condition of Aluminum–Electrolytic–Capacitors,Amaral A.M.R.; Cardoso A.J.M.,IEEE Transactions on Industrial Electronics,journal-article,Al-Cap,Signal/Circuit,S3-HealthIndicators,P2,NEED_MANUAL
10.1109/tpel.2017.2736162,2,2,,,0,medium,quasi-online health monitoring of the inverter capacitor; the deliverable defensible from the title is the estimated capacitor parameter,5,108,2018,Quasi-Online Technique for Health Monitoring of Capacitor in Single-Phase Solar Inverter,Agarwal Nikunj; Ahmad Md Waseem; Anand Sandeep,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/pesc.2005.1582040,2,2,,,0,medium,"estimates capacitor condition in real time, i.e. an ESR/C value, with no explicit diagnosis or prognosis stage",5,82,,A Real Time Method to Estimate Electrolytic Capacitor Condition in PWM Adjustable Speed Drives and Uninterruptible Power Supplies,Aeloiza E.; Jang-Hwan Kim; Enjeti P.; Ruminot P.,"IEEE 36th Conference on Power Electronics Specialists, 2005.",proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tim.2008.925013,2,2,,,0,high,"estimates the equivalent circuit (ESR, C) of the capacitor offline; parameter estimation only",5,43,2008,An Economic Offline Technique for Estimating the Equivalent Circuit of Aluminum Electrolytic Capacitors,Amaral A.M.R.; Cardoso A.,IEEE Transactions on Instrumentation and Measurement,journal-article,Al-Cap,Signal/Circuit,S3-HealthIndicators,P2,NEED_MANUAL
10.1109/tpel.2014.2339374,2,2,,,0,medium,deterioration monitoring by deliberate current injection yields the capacitor parameter; the title does not establish a degraded/healthy decision stage,4,111,2015,Deterioration Monitoring of DC-Link Capacitors in AC Machine Drives by Current Injection,Nguyen Thanh Hai; Lee Dong-Choon,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tim.2009.2032960,2,2,,,0,medium,"online noninvasive technique whose output is the capacitor's estimated ESR/impedance, not a health state or life",4,105,2010,An Online and Noninvasive Technique for the Condition Monitoring of Capacitors in Boost Converters,Buiatti G M; Martín-Ramos J A; García C H R; Amaral A M R et al.,IEEE Transactions on Instrumentation and Measurement,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P1,NEED_MANUAL
10.1109/tpel.2014.2383436,2,2,,,0,high,"explicitly identifies ESR and C of the output capacitor, stopping at parameter estimation",4,105,2015,A Current-Sensorless Online ESR and C Identification Method for Output Capacitor of Buck Converter,Yao Kai; Tang Weijie; Hu Wenbin; Lyu Jianguo,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P1,NEED_MANUAL
10.1109/tia.2008.2002181,2,2,,,0,high,estimates DC-link capacitance via injected voltage signal; no degradation decision output,4,104,2008,DC-Link Capacitance Estimation in AC/DC/AC PWM Converters Using Voltage Injection,Abo-Khalil A.G.; Dong-Choon Lee,IEEE Transactions on Industry Applications,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P1,NEED_MANUAL
10.1109/tie.2018.2835393,2,2,,,0,low,"a condition-monitoring method whose deliverable is almost certainly an estimated capacitance/ESR, but the VEN acronym hides the actual output",4,103,2019,A VEN Condition Monitoring Method of DC-Link Capacitors for Power Converters,Wu Yu; Du Xiong,IEEE Transactions on Industrial Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tia.2018.2845889,2,2,,,0,low,"an implemented monitoring system for industrial converters; parameter estimation is defensible, any alarm/threshold stage is not visible in the title",4,100,2018,Online Condition Monitoring System for DC-Link Capacitor in Industrial Power Converters,Sundararajan Prasanth; Sathik Mohamed Halick Mohamed; Sasongko Firman; Tan Chuan Seng et al.,IEEE Transactions on Industry Applications,journal-article,NR,Signal/Circuit,S9-Deployability,P2,OA_PENDING
10.1109/tpel.2019.2951859,2,2,,,0,high,"Goertzel-based extraction of the failure-precursor parameter plus capacitor temperature, i.e. parameter estimation",4,97,2020,Condition Monitoring of DC-Link Capacitors Using Goertzel Algorithm for Failure Precursor Parameter and Temperature Estimation,Sundararajan Prasanth; Sathik Mohamed Halick Mohamed; Sasongko Firman; Tan Chuan Seng et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P1,NEED_MANUAL
10.1109/tpel.2018.2890617,2,2,,,0,high,title states the output is an online ESR estimate for the boost output capacitor,4,85,2019,An Online ESR Estimation Method for Output Capacitor of Boost Converter,Ren Lei; Gong Chunying; Zhao Yao,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1049/ip-epa:20050027,2,2,,,0,high,RLS identification whose output is the DC-link capacitance value,4,80,2005,Online capacitance estimation of DC-link electrolytic capacitors for three-phase AC/DC/AC PWM converters using recursive least squares method,Lee D.-C.; Lee K.-J.; Seok J.-K.; Choi J.-W.,IEE Proceedings - Electric Power Applications,journal-article,Al-Cap,Model-based/Filtering,S4-OnlineCM,P1,NEED_MANUAL
10.1109/tpel.2018.2857832,2,2,,,0,medium,reference-submodule comparison yields per-submodule capacitance values; per-SM localisation is plausible but not stated as the output,4,80,2019,Reference Submodule Based Capacitor Monitoring Strategy for Modular Multilevel Converters,Deng Fujin; Wang Qingsong; Liu Dong; Wang Yanbo et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P1,NEED_MANUAL
10.1109/apex.2007.357646,2,2,,,0,medium,"real-time condition monitoring of electrolytic capacitors, delivering estimated ESR/capacitance",4,78,2007,Real-Time Condition Monitoring of the Electrolytic Capacitors for Power Electronics Applications,Imam Afroz M.; Divan Deepak M.; Harley Ronald G.; Habetler Thomas G.,APEC 07 - Twenty-Second Annual IEEE Applied Power Electronics Conference and Exposition,proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/ecce.2014.6953683,2,2,,,0,medium,"submodule capacitor monitoring in an MMC, output is estimated submodule capacitance",4,70,2014,Condition monitoring of submodule capacitors in modular multilevel converters,Jo Yun-Jae; Nguyen Thanh Hai; Lee Dong-Choon,2014 IEEE Energy Conversion Congress and Exposition (ECCE),proceedings-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2017.2762341,2,2,,,0,high,explicitly a DC-link capacitance estimation technique,4,66,2018,Noninvasive Technique for DC-Link Capacitance Estimation in Single-Phase Inverters,Ahmad Md. Waseem; Kumar P. Nandha; Arya Abhinav; Anand Sandeep,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2019.2917937,2,2,,,0,medium,"MMC submodule capacitor condition monitoring, i.e. capacitance/ESR estimation per submodule",4,59,2019,Condition Monitoring for Submodule Capacitors in Modular Multilevel Converters,Wang Hanyu; Wang Huai; Wang Zhongxu; Zhang Yi et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2019.2956808,2,2,,,0,medium,"uses the DC-side start-up transient to estimate submodule capacitance; output is a parameter, not a health state",4,59,2020,Capacitor Condition Monitoring Based on the DC-Side Start-Up of Modular Multilevel Converters,Wang Zhongxu; Zhang Yi; Wang Huai; Blaabjerg Frede,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,OA_PENDING
10.1109/tim.2009.2019719,2,2,,,0,medium,"in-service monitoring of film capacitors, whose degradation metric is the measured capacitance loss",4,55,2009,Condition Monitoring of Metallized Polypropylene Film Capacitors in Railway Power Trains,Buiatti Gustavo Malagoni; MartÍn-Ramos Juan A.; Amaral AcÁcio M. R.; Dworakowski Piotr et al.,IEEE Transactions on Instrumentation and Measurement,journal-article,Film,Signal/Circuit,S4-OnlineCM,P1,NEED_MANUAL
10.1109/tim.2017.2749838,2,2,,,0,high,title names ESR and C of the output capacitor as the estimated quantities,4,46,2017,Noninvasive Online Condition Monitoring of Output Capacitor’s ESR and C for a Flyback Converter,Yao Kai; Cao Cheng; Yang Siwen,IEEE Transactions on Instrumentation and Measurement,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/isie.2007.4374704,2,2,,,0,high,"Newton-Raphson fitting of the capacitor equivalent circuit, output is the estimated parameter set",4,35,2007,Using Newton-Raphson Method to Estimate the Condition of Aluminum Electrolytic Capacitors,Amaral Acacio M. R.; Cardoso A. J. Marques,2007 IEEE International Symposium on Industrial Electronics,proceedings-article,Al-Cap,Model-based/Filtering,S3-HealthIndicators,P3,NEED_MANUAL
10.1109/jsen.2019.2945943,2,2,,,0,medium,magnetoresistive current sensing feeding capacitor parameter (ESR/C) monitoring; no health-state or life output stated,4,34,2020,Online Monitoring of Aluminum Electrolytic Capacitors in Photovoltaic Systems by Magnetoresistive Sensors,Miao Wenchao; Lam K. H.; Pong Philip W. T.,IEEE Sensors Journal,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/jsen.2019.2929537,2,2,,,0,medium,"monitors capacitor condition by sensing ripple current with magnetic sensors, whose output is an ESR/impedance parameter rather than a health state",4,33,2019,Condition Monitoring of Electrolytic Capacitors in Boost Converters by Magnetic Sensors,Miao Wenchao; Liu Xuyang; Lam K.H.; Pong Philip W. T.,IEEE Sensors Journal,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P1,NEED_MANUAL
